NIMI ;OSOITE;POSTINUMERO;KUNTA;LUVAN ALKUPÄIVÄ;LUVAN SELITE;OSASTON NIMI;ASIAKASPAIKAT;
Joensuun Teatteriravintola;Rantakatu 20;80100;Joensuu;1.3.2014;Anniskelu A, kaikki alkoholijuomat;Varpunen-kabinetti;20;
Joensuun Teatteriravintola;Rantakatu 20;80100;Joensuu;1.3.2014;Anniskelu A, kaikki alkoholijuomat;Tornikabinetti;40;
Joensuun Teatteriravintola;Rantakatu 20;80100;Joensuu;1.3.2014;Anniskelu A, kaikki alkoholijuomat;Ison salin lämpiö/aula;100;
Joensuun Teatteriravintola;Rantakatu 20;80100;Joensuu;1.3.2014;Anniskelu A, kaikki alkoholijuomat;Ulkoterassi (1.4. - 30.10.);150;
Joensuun Teatteriravintola;Rantakatu 20;80100;Joensuu;1.3.2014;Anniskelu A, kaikki alkoholijuomat;Katettu terassi;150;
Joensuun Teatteriravintola;Rantakatu 20;80100;Joensuu;1.3.2014;Anniskelu A, kaikki alkoholijuomat;Sisäpiha;150;
Joensuun Teatteriravintola;Rantakatu 20;80100;Joensuu;1.3.2014;Anniskelu A, kaikki alkoholijuomat;Teatteriklubi;150;
Johan & Nyström;Kanavaranta 7 C;160;Helsinki;1.7.2019;Anniskelu A, kaikki alkoholijuomat;Sisätila;67;
Johan & Nyström;Kanavaranta 7 C;160;Helsinki;1.7.2019;Anniskelu A, kaikki alkoholijuomat;Ulkotila;44;
Johannas Hembakta;Stornäsvägen 40, Stalldalen;22410;Finström;13.9.2019;Anniskelu B, miedot alkoholijuomat/max 22%;Johannas Hembakta;50;
Johannas Hembakta;Stornäsvägen 40, Stalldalen;22410;Finström;13.9.2019;Anniskelu B, miedot alkoholijuomat/max 22%;Johannas Hembakta;20;
John Stenbergin ranta (0099);John Stenbergin ranta 2;530;Helsinki;1.4.2019;Anniskelu A, kaikki alkoholijuomat;Kokoustila 208;12;
John Stenbergin ranta (0099);John Stenbergin ranta 2;530;Helsinki;1.4.2019;Anniskelu A, kaikki alkoholijuomat;Kokoustila 210;10;
