Vuosi;Määrä;Voitto;Muistiinpanot:
2016;1;450000000;
2016;1;450000000;
2016;1;450000000;
2016;1;400000000;
2016;1;400000000;
2016;1;400000000;
2016;1;400000000;
2016;1;330000000;
2016;1;330000000;
2016;1;250000000;
2016;1;250000000;
2016;1;250000000;
2016;1;250000000;
2016;1;250000000;
2016;1;250000000;
2016;1;250000000;
2016;1;250000000;
2016;1;220000000;
2016;1;220000000;
2016;1;220000000;
2016;1;220000000;
2016;1;220000000;
2016;1;220000000;
2016;1;220000000;
2016;1;220000000;
2016;1;220000000;
2016;1;220000000;
2016;2;125000000;
2016;2;125000000;
2016;1;110000000;
2016;1;110000000;
2017;1;1420000000;
2017;1;1420000000;
2017;1;900000000;
2017;1;900000000;
2017;1;800000000;
2017;1;800000000;
2017;2;720000000;
2017;2;720000000;
2017;1;700000000;
2017;1;700000000;
2017;1;500000000;
2017;1;500000000;
2017;1;500000000;
2017;1;500000000;
2017;1;360000000;
2017;1;360000000;
2017;1;240000000;
2017;1;240000000;
2017;1;240000000;
2017;1;240000000;
2017;1;240000000;
2017;1;240000000;
2017;3;166666660;
2017;3;166666660;
2017;1;120000000;
2017;1;120000000;
2017;1;120000000;
2017;1;120000000;
2018;1;1450000000;
2018;1;1450000000;
2018;1;1000000000;
2018;1;1000000000;
2018;1;650000000;
2018;1;650000000;
2018;1;360000000;
2018;1;360000000;
2018;1;360000000;
2018;1;360000000;
2018;1;240000000;
2018;1;240000000;
2018;1;120000000;
2018;1;120000000;
2018;1;120000000;
2018;1;120000000;
2018;1;120000000;
2018;1;120000000;
